english,spanish,english_sentence,spanish_sentence,POS,CEFR,ipa,family_size,frequency
application,solicitud,Visa application requires documents,La solicitud de visa requiere documentos,NOUN,B1,/ˌæp.lɪˈkeɪ.ʃən/,5,5000
administrative review,revisión administrativa,Administrative review takes 6 months,La revisión administrativa toma 6 meses,NOUN,B2,/ədˌmɪn.ɪˈstreɪ.tɪv rɪˈvjuː/,2,2222
asylum withholding,retención de asilo,Asylum withholding deportation granted,Se concedió retención de deportación por asilo,NOUN,C2,/əˈsaɪ.ləm wɪðˈhəʊl.dɪŋ/,3,1083
adjustment interview,entrevista de ajuste,Adjustment interview requires biometrics,La entrevista de ajuste requiere biométricos,NOUN,C1,/əˈdʒʌst.mənt ˈɪn.tə.vjuː/,3,2314
asylum eligibility,elegibilidad de asilo,Asylum eligibility requires persecution fear,La elegibilidad de asilo requiere temor a persecución,NOUN,C1,/əˈsaɪ.ləm ɪˌli.dʒəˈbɪl.ə.ti/,4,1788
administrative,administrativo,Administrative processing delayed visa,El procesamiento administrativo retrasó la visa,ADJ,B2,/ədˌmɪn.ɪˈstreɪ.tɪv/,5,3082
affirmative asylum,asilo afirmativo,Affirmative asylum filed with USCIS,Asilo afirmativo presentado ante USCIS,NOUN,C2,/əˈfɜːr.mə.tɪv əˈsaɪ.ləm/,1,983
adjustment interview,entrevista de ajuste,Adjustment interview requires biometrics,La entrevista de ajuste requiere biométricos,NOUN,C1,/əˈdʒʌst.mənt ˈɪn.tə.vjuː/,2,2343
admission record,registro de admisión,Check your admission record online,Verificar registro de admisión en línea,NOUN,B2,/ədˈmɪʃ.ən ˈrek.ɔːd/,4,2308
asylum seeker,solicitante de asilo,Asylum seekers need legal help,Los solicitantes de asilo necesitan ayuda legal,NOUN,C1,/əˈsaɪ.ləm ˈsiː.kər/,4,2201
adjustment interview,entrevista de ajuste,Adjustment interview requires biometrics,La entrevista de ajuste requiere biométricos,NOUN,C1,/əˈdʒʌst.mənt ˈɪn.tə.vjuː/,4,2453
applicant interview,entrevista del solicitante,Applicant interview scheduled for Monday,Entrevista del solicitante programada para lunes,NOUN,B2,/ˈæp.lɪ.kənt ˈɪn.tə.vjuː/,5,2715
asylee,asilado,The asylee received work authorization,El asilado recibió autorización de trabajo,NOUN,C1,/əˈsaɪ.liː/,3,1942
admission,admisión,Temporary admission was granted,Se concedió admisión temporal,NOUN,B2,/ədˈmɪʃ.ən/,3,3459
applicant interview,entrevista del solicitante,Applicant interview scheduled for Monday,Entrevista del solicitante programada para lunes,NOUN,B2,/ˈæp.lɪ.kənt ˈɪn.tə.vjuː/,5,2832
administrative,administrativo,Administrative processing delayed visa,El procesamiento administrativo retrasó la visa,ADJ,B2,/ədˌmɪn.ɪˈstreɪ.tɪv/,3,2939
application,solicitud,Visa application requires documents,La solicitud de visa requiere documentos,NOUN,B1,/ˌæp.lɪˈkeɪ.ʃən/,5,5000
applicant interview,entrevista del solicitante,Applicant interview scheduled for Monday,Entrevista del solicitante programada para lunes,NOUN,B2,/ˈæp.lɪ.kənt ˈɪn.tə.vjuː/,3,2899
affirmative asylum,asilo afirmativo,Affirmative asylum filed with USCIS,Asilo afirmativo presentado ante USCIS,NOUN,C2,/əˈfɜːr.mə.tɪv əˈsaɪ.ləm/,2,948
admission hearing,audiencia de admisión,Admission hearing set for next week,Audiencia de admisión programada para próxima semana,NOUN,B2,/ədˈmɪʃ.ən ˈhɪə.rɪŋ/,2,2010
admission hearing,audiencia de admisión,Admission hearing set for next week,Audiencia de admisión programada para próxima semana,NOUN,B2,/ədˈmɪʃ.ən ˈhɪə.rɪŋ/,2,1952
alien,extranjero,The alien registration is mandatory,El registro de extranjeros es obligatorio,NOUN,C1,/ˈeɪ.li.ən/,2,3136
asylum claim,solicitud de asilo,Asylum claim requires credible fear,La solicitud de asilo requiere temor creíble,NOUN,C1,/əˈsaɪ.ləm kleɪm/,2,2038
admissible,admisible,Applicant is admissible to the US,El solicitante es admisible a EE.UU.,ADJ,C1,/ədˈmɪs.ə.bəl/,3,1977
alien registration,registro de extranjeros,Alien registration card required,Se requiere tarjeta de registro de extranjeros,NOUN,C1,/ˈeɪ.li.ən ˌredʒ.ɪˈstreɪ.ʃən/,4,2214
application,solicitud,Visa application requires documents,La solicitud de visa requiere documentos,NOUN,B1,/ˌæp.lɪˈkeɪ.ʃən/,5,5000
asylum eligibility,elegibilidad de asilo,Asylum eligibility requires persecution fear,La elegibilidad de asilo requiere temor a persecución,NOUN,C1,/əˈsaɪ.ləm ɪˌli.dʒəˈbɪl.ə.ti/,4,1611
asylee,asilado,The asylee received work authorization,El asilado recibió autorización de trabajo,NOUN,C1,/əˈsaɪ.liː/,3,1947
asylee,asilado,The asylee received work authorization,El asilado recibió autorización de trabajo,NOUN,C1,/əˈsaɪ.liː/,2,1917
affirmative asylum,asilo afirmativo,Affirmative asylum filed with USCIS,Asilo afirmativo presentado ante USCIS,NOUN,C2,/əˈfɜːr.mə.tɪv əˈsaɪ.ləm/,2,1100
administrative review,revisión administrativa,Administrative review takes 6 months,La revisión administrativa toma 6 meses,NOUN,B2,/ədˌmɪn.ɪˈstreɪ.tɪv rɪˈvjuː/,4,2148
admission hearing,audiencia de admisión,Admission hearing set for next week,Audiencia de admisión programada para próxima semana,NOUN,B2,/ədˈmɪʃ.ən ˈhɪə.rɪŋ/,3,2072
asylee,asilado,The asylee received work authorization,El asilado recibió autorización de trabajo,NOUN,C1,/əˈsaɪ.liː/,3,2011
admissible,admisible,Applicant is admissible to the US,El solicitante es admisible a EE.UU.,ADJ,C1,/ədˈmɪs.ə.bəl/,2,1885
asylum claim,solicitud de asilo,Asylum claim requires credible fear,La solicitud de asilo requiere temor creíble,NOUN,C1,/əˈsaɪ.ləm kleɪm/,4,2114
alien registration,registro de extranjeros,Alien registration card required,Se requiere tarjeta de registro de extranjeros,NOUN,C1,/ˈeɪ.li.ən ˌredʒ.ɪˈstreɪ.ʃən/,2,2086
affidavit support,declaración de apoyo,Affidavit of support required for family,Se requiere declaración de apoyo para familia,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt əv səˈpɔːrt/,4,1284
administrative,administrativo,Administrative processing delayed visa,El procesamiento administrativo retrasó la visa,ADJ,B2,/ədˌmɪn.ɪˈstreɪ.tɪv/,5,2977
administrative,administrativo,Administrative processing delayed visa,El procesamiento administrativo retrasó la visa,ADJ,B2,/ədˌmɪn.ɪˈstreɪ.tɪv/,5,3128
attorney,abogado,Immigration attorney filed the petition,El abogado de inmigración presentó la petición,NOUN,B2,/əˈtɜː.ni/,4,4425
admission parole,parole de admisión,Admission parole allows temporary stay,El parole de admisión permite estadía temporal,NOUN,C1,/ədˈmɪʃ.ən pəˈroʊl/,3,1794
admission parole,parole de admisión,Admission parole allows temporary stay,El parole de admisión permite estadía temporal,NOUN,C1,/ədˈmɪʃ.ən pəˈroʊl/,2,1748
admission record,registro de admisión,Check your admission record online,Verificar registro de admisión en línea,NOUN,B2,/ədˈmɪʃ.ən ˈrek.ɔːd/,4,2455
admission,admisión,Temporary admission was granted,Se concedió admisión temporal,NOUN,B2,/ədˈmɪʃ.ən/,4,3562
admission,admisión,Temporary admission was granted,Se concedió admisión temporal,NOUN,B2,/ədˈmɪʃ.ən/,3,3546
asylum,asilo,The asylum application was approved,La solicitud de asilo fue aprobada,NOUN,C1,/əˈsaɪ.ləm/,2,2885
advance parole,permiso anticipado de viaje,Advance parole allows reentry,El permiso anticipado permite reingreso,NOUN,C1,/ədˈvɑːns pəˈroʊl/,2,1638
adjustment interview,entrevista de ajuste,Adjustment interview requires biometrics,La entrevista de ajuste requiere biométricos,NOUN,C1,/əˈdʒʌst.mənt ˈɪn.tə.vjuː/,2,2428
appellant,apelante,Appellant has 30 days to appeal,El apelante tiene 30 días para apelar,NOUN,C1,/əˈpel.ənt/,3,1265
asylum withholding,retención de asilo,Asylum withholding deportation granted,Se concedió retención de deportación por asilo,NOUN,C2,/əˈsaɪ.ləm wɪðˈhəʊl.dɪŋ/,4,1051
asylum,asilo,The asylum application was approved,La solicitud de asilo fue aprobada,NOUN,C1,/əˈsaɪ.ləm/,3,3036
approval,aprobación,Work permit approval takes 90 days,La aprobación del permiso de trabajo toma 90 días,NOUN,B2,/əˈpruː.vəl/,3,2761
appeal,apelación,The appeal was filed within 30 days,La apelación se presentó dentro de 30 días,NOUN,B2,/əˈpiːl/,5,3978
admission record,registro de admisión,Check your admission record online,Verificar registro de admisión en línea,NOUN,B2,/ədˈmɪʃ.ən ˈrek.ɔːd/,2,2488
alien registration,registro de extranjeros,Alien registration card required,Se requiere tarjeta de registro de extranjeros,NOUN,C1,/ˈeɪ.li.ən ˌredʒ.ɪˈstreɪ.ʃən/,2,2068
affidavit,declaración jurada,Submit affidavit of support,Presentar declaración jurada de apoyo,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt/,3,1239
asylum claim,solicitud de asilo,Asylum claim requires credible fear,La solicitud de asilo requiere temor creíble,NOUN,C1,/əˈsaɪ.ləm kleɪm/,2,1966
alien registration,registro de extranjeros,Alien registration card required,Se requiere tarjeta de registro de extranjeros,NOUN,C1,/ˈeɪ.li.ən ˌredʒ.ɪˈstreɪ.ʃən/,2,2167
appellant,apelante,Appellant has 30 days to appeal,El apelante tiene 30 días para apelar,NOUN,C1,/əˈpel.ənt/,1,1188
admission parole,parole de admisión,Admission parole allows temporary stay,El parole de admisión permite estadía temporal,NOUN,C1,/ədˈmɪʃ.ən pəˈroʊl/,3,1722
applicant interview,entrevista del solicitante,Applicant interview scheduled for Monday,Entrevista del solicitante programada para lunes,NOUN,B2,/ˈæp.lɪ.kənt ˈɪn.tə.vjuː/,4,2747
admission parole,parole de admisión,Admission parole allows temporary stay,El parole de admisión permite estadía temporal,NOUN,C1,/ədˈmɪʃ.ən pəˈroʊl/,4,1721
asylum withholding,retención de asilo,Asylum withholding deportation granted,Se concedió retención de deportación por asilo,NOUN,C2,/əˈsaɪ.ləm wɪðˈhəʊl.dɪŋ/,2,1001
appeal,apelación,The appeal was filed within 30 days,La apelación se presentó dentro de 30 días,NOUN,B2,/əˈpiːl/,4,3971
application,solicitud,Visa application requires documents,La solicitud de visa requiere documentos,NOUN,B1,/ˌæp.lɪˈkeɪ.ʃən/,7,5000
applicant interview,entrevista del solicitante,Applicant interview scheduled for Monday,Entrevista del solicitante programada para lunes,NOUN,B2,/ˈæp.lɪ.kənt ˈɪn.tə.vjuː/,3,2725
asylee,asilado,The asylee received work authorization,El asilado recibió autorización de trabajo,NOUN,C1,/əˈsaɪ.liː/,1,1910
approval,aprobación,Work permit approval takes 90 days,La aprobación del permiso de trabajo toma 90 días,NOUN,B2,/əˈpruː.vəl/,3,2740
asylum,asilo,The asylum application was approved,La solicitud de asilo fue aprobada,NOUN,C1,/əˈsaɪ.ləm/,4,2902
affidavit support,declaración de apoyo,Affidavit of support required for family,Se requiere declaración de apoyo para familia,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt əv səˈpɔːrt/,4,1269
applicant,solicitante,The applicant must attend the interview,El solicitante debe asistir a la entrevista,NOUN,B2,/ˈæp.lɪ.kənt/,5,4575
admission,admisión,Temporary admission was granted,Se concedió admisión temporal,NOUN,B2,/ədˈmɪʃ.ən/,5,3432
advance parole,permiso anticipado de viaje,Advance parole allows reentry,El permiso anticipado permite reingreso,NOUN,C1,/ədˈvɑːns pəˈroʊl/,3,1780
adjudication,adjudicación,Visa adjudication process is complex,El proceso de adjudicación de visa es complejo,NOUN,C2,/əˌdʒuː.dɪˈkeɪ.ʃən/,2,1764
asylum withholding,retención de asilo,Asylum withholding deportation granted,Se concedió retención de deportación por asilo,NOUN,C2,/əˈsaɪ.ləm wɪðˈhəʊl.dɪŋ/,2,1034
asylum claim,solicitud de asilo,Asylum claim requires credible fear,La solicitud de asilo requiere temor creíble,NOUN,C1,/əˈsaɪ.ləm kleɪm/,2,2041
applicant interview,entrevista del solicitante,Applicant interview scheduled for Monday,Entrevista del solicitante programada para lunes,NOUN,B2,/ˈæp.lɪ.kənt ˈɪn.tə.vjuː/,3,2813
approval,aprobación,Work permit approval takes 90 days,La aprobación del permiso de trabajo toma 90 días,NOUN,B2,/əˈpruː.vəl/,2,2843
appellant,apelante,Appellant has 30 days to appeal,El apelante tiene 30 días para apelar,NOUN,C1,/əˈpel.ənt/,2,1332
affirmative asylum,asilo afirmativo,Affirmative asylum filed with USCIS,Asilo afirmativo presentado ante USCIS,NOUN,C2,/əˈfɜːr.mə.tɪv əˈsaɪ.ləm/,3,991
asylum officer,oficial de asilo,Asylum officer conducted credible fear interview,El oficial de asilo realizó entrevista de temor creíble,NOUN,C1,/əˈsaɪ.ləm ˈɒf.ɪ.sər/,3,1498
administrative review,revisión administrativa,Administrative review takes 6 months,La revisión administrativa toma 6 meses,NOUN,B2,/ədˌmɪn.ɪˈstreɪ.tɪv rɪˈvjuː/,2,2255
adjudication,adjudicación,Visa adjudication process is complex,El proceso de adjudicación de visa es complejo,NOUN,C2,/əˌdʒuː.dɪˈkeɪ.ʃən/,2,1698
affidavit support,declaración de apoyo,Affidavit of support required for family,Se requiere declaración de apoyo para familia,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt əv səˈpɔːrt/,4,1316
attorney,abogado,Immigration attorney filed the petition,El abogado de inmigración presentó la petición,NOUN,B2,/əˈtɜː.ni/,4,4372
applicant interview,entrevista del solicitante,Applicant interview scheduled for Monday,Entrevista del solicitante programada para lunes,NOUN,B2,/ˈæp.lɪ.kənt ˈɪn.tə.vjuː/,4,2717
adjustment,ajuste,Adjustment of status requires forms,El ajuste de estatus requiere formularios,NOUN,C1,/əˈdʒʌst.mənt/,3,2475
admissible,admisible,Applicant is admissible to the US,El solicitante es admisible a EE.UU.,ADJ,C1,/ədˈmɪs.ə.bəl/,2,1848
appeal,apelación,The appeal was filed within 30 days,La apelación se presentó dentro de 30 días,NOUN,B2,/əˈpiːl/,4,3878
admission hearing,audiencia de admisión,Admission hearing set for next week,Audiencia de admisión programada para próxima semana,NOUN,B2,/ədˈmɪʃ.ən ˈhɪə.rɪŋ/,3,2101
admission parole,parole de admisión,Admission parole allows temporary stay,El parole de admisión permite estadía temporal,NOUN,C1,/ədˈmɪʃ.ən pəˈroʊl/,3,1686
application,solicitud,Visa application requires documents,La solicitud de visa requiere documentos,NOUN,B1,/ˌæp.lɪˈkeɪ.ʃən/,6,5000
application,solicitud,Visa application requires documents,La solicitud de visa requiere documentos,NOUN,B1,/ˌæp.lɪˈkeɪ.ʃən/,7,5000
administrative review,revisión administrativa,Administrative review takes 6 months,La revisión administrativa toma 6 meses,NOUN,B2,/ədˌmɪn.ɪˈstreɪ.tɪv rɪˈvjuː/,4,2136
asylee,asilado,The asylee received work authorization,El asilado recibió autorización de trabajo,NOUN,C1,/əˈsaɪ.liː/,1,1935
adjustment,ajuste,Adjustment of status requires forms,El ajuste de estatus requiere formularios,NOUN,C1,/əˈdʒʌst.mənt/,2,2295
asylum officer,oficial de asilo,Asylum officer conducted credible fear interview,El oficial de asilo realizó entrevista de temor creíble,NOUN,C1,/əˈsaɪ.ləm ˈɒf.ɪ.sər/,4,1543
appeal,apelación,The appeal was filed within 30 days,La apelación se presentó dentro de 30 días,NOUN,B2,/əˈpiːl/,6,3998
affidavit,declaración jurada,Submit affidavit of support,Presentar declaración jurada de apoyo,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt/,3,1187
adjustment interview,entrevista de ajuste,Adjustment interview requires biometrics,La entrevista de ajuste requiere biométricos,NOUN,C1,/əˈdʒʌst.mənt ˈɪn.tə.vjuː/,3,2484
affidavit support,declaración de apoyo,Affidavit of support required for family,Se requiere declaración de apoyo para familia,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt əv səˈpɔːrt/,3,1376
alien,extranjero,The alien registration is mandatory,El registro de extranjeros es obligatorio,NOUN,C1,/ˈeɪ.li.ən/,3,3049
asylum claim,solicitud de asilo,Asylum claim requires credible fear,La solicitud de asilo requiere temor creíble,NOUN,C1,/əˈsaɪ.ləm kleɪm/,3,1968
asylum officer,oficial de asilo,Asylum officer conducted credible fear interview,El oficial de asilo realizó entrevista de temor creíble,NOUN,C1,/əˈsaɪ.ləm ˈɒf.ɪ.sər/,3,1526
alien,extranjero,The alien registration is mandatory,El registro de extranjeros es obligatorio,NOUN,C1,/ˈeɪ.li.ən/,1,3028
approval,aprobación,Work permit approval takes 90 days,La aprobación del permiso de trabajo toma 90 días,NOUN,B2,/əˈpruː.vəl/,4,2809
asylum claim,solicitud de asilo,Asylum claim requires credible fear,La solicitud de asilo requiere temor creíble,NOUN,C1,/əˈsaɪ.ləm kleɪm/,4,2008
appeal,apelación,The appeal was filed within 30 days,La apelación se presentó dentro de 30 días,NOUN,B2,/əˈpiːl/,5,3864
asylum seeker,solicitante de asilo,Asylum seekers need legal help,Los solicitantes de asilo necesitan ayuda legal,NOUN,C1,/əˈsaɪ.ləm ˈsiː.kər/,5,2212
asylum seeker,solicitante de asilo,Asylum seekers need legal help,Los solicitantes de asilo necesitan ayuda legal,NOUN,C1,/əˈsaɪ.ləm ˈsiː.kər/,3,2220
approval,aprobación,Work permit approval takes 90 days,La aprobación del permiso de trabajo toma 90 días,NOUN,B2,/əˈpruː.vəl/,2,2896
admission,admisión,Temporary admission was granted,Se concedió admisión temporal,NOUN,B2,/ədˈmɪʃ.ən/,3,3523
admission,admisión,Temporary admission was granted,Se concedió admisión temporal,NOUN,B2,/ədˈmɪʃ.ən/,5,3408
adjustment interview,entrevista de ajuste,Adjustment interview requires biometrics,La entrevista de ajuste requiere biométricos,NOUN,C1,/əˈdʒʌst.mənt ˈɪn.tə.vjuː/,4,2417
alien registration,registro de extranjeros,Alien registration card required,Se requiere tarjeta de registro de extranjeros,NOUN,C1,/ˈeɪ.li.ən ˌredʒ.ɪˈstreɪ.ʃən/,4,2108
applicant,solicitante,The applicant must attend the interview,El solicitante debe asistir a la entrevista,NOUN,B2,/ˈæp.lɪ.kənt/,5,4528
admission parole,parole de admisión,Admission parole allows temporary stay,El parole de admisión permite estadía temporal,NOUN,C1,/ədˈmɪʃ.ən pəˈroʊl/,4,1796
adjustment interview,entrevista de ajuste,Adjustment interview requires biometrics,La entrevista de ajuste requiere biométricos,NOUN,C1,/əˈdʒʌst.mənt ˈɪn.tə.vjuː/,2,2348
asylum claim,solicitud de asilo,Asylum claim requires credible fear,La solicitud de asilo requiere temor creíble,NOUN,C1,/əˈsaɪ.ləm kleɪm/,3,2069
admission record,registro de admisión,Check your admission record online,Verificar registro de admisión en línea,NOUN,B2,/ədˈmɪʃ.ən ˈrek.ɔːd/,2,2351
asylum officer,oficial de asilo,Asylum officer conducted credible fear interview,El oficial de asilo realizó entrevista de temor creíble,NOUN,C1,/əˈsaɪ.ləm ˈɒf.ɪ.sər/,4,1637
admission parole,parole de admisión,Admission parole allows temporary stay,El parole de admisión permite estadía temporal,NOUN,C1,/ədˈmɪʃ.ən pəˈroʊl/,2,1715
affidavit support,declaración de apoyo,Affidavit of support required for family,Se requiere declaración de apoyo para familia,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt əv səˈpɔːrt/,4,1230
asylum officer,oficial de asilo,Asylum officer conducted credible fear interview,El oficial de asilo realizó entrevista de temor creíble,NOUN,C1,/əˈsaɪ.ləm ˈɒf.ɪ.sər/,4,1643
appeal,apelación,The appeal was filed within 30 days,La apelación se presentó dentro de 30 días,NOUN,B2,/əˈpiːl/,4,3910
affidavit,declaración jurada,Submit affidavit of support,Presentar declaración jurada de apoyo,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt/,3,1325
administrative,administrativo,Administrative processing delayed visa,El procesamiento administrativo retrasó la visa,ADJ,B2,/ədˌmɪn.ɪˈstreɪ.tɪv/,4,3002
admission hearing,audiencia de admisión,Admission hearing set for next week,Audiencia de admisión programada para próxima semana,NOUN,B2,/ədˈmɪʃ.ən ˈhɪə.rɪŋ/,4,2011
appeal,apelación,The appeal was filed within 30 days,La apelación se presentó dentro de 30 días,NOUN,B2,/əˈpiːl/,5,4004
advance parole,permiso anticipado de viaje,Advance parole allows reentry,El permiso anticipado permite reingreso,NOUN,C1,/ədˈvɑːns pəˈroʊl/,3,1706
administrative,administrativo,Administrative processing delayed visa,El procesamiento administrativo retrasó la visa,ADJ,B2,/ədˌmɪn.ɪˈstreɪ.tɪv/,5,3102
admission record,registro de admisión,Check your admission record online,Verificar registro de admisión en línea,NOUN,B2,/ədˈmɪʃ.ən ˈrek.ɔːd/,2,2486
advance parole,permiso anticipado de viaje,Advance parole allows reentry,El permiso anticipado permite reingreso,NOUN,C1,/ədˈvɑːns pəˈroʊl/,3,1641
affirmative asylum,asilo afirmativo,Affirmative asylum filed with USCIS,Asilo afirmativo presentado ante USCIS,NOUN,C2,/əˈfɜːr.mə.tɪv əˈsaɪ.ləm/,1,986
asylum officer,oficial de asilo,Asylum officer conducted credible fear interview,El oficial de asilo realizó entrevista de temor creíble,NOUN,C1,/əˈsaɪ.ləm ˈɒf.ɪ.sər/,3,1590
asylum eligibility,elegibilidad de asilo,Asylum eligibility requires persecution fear,La elegibilidad de asilo requiere temor a persecución,NOUN,C1,/əˈsaɪ.ləm ɪˌli.dʒəˈbɪl.ə.ti/,5,1685
asylum,asilo,The asylum application was approved,La solicitud de asilo fue aprobada,NOUN,C1,/əˈsaɪ.ləm/,4,2869
asylum eligibility,elegibilidad de asilo,Asylum eligibility requires persecution fear,La elegibilidad de asilo requiere temor a persecución,NOUN,C1,/əˈsaɪ.ləm ɪˌli.dʒəˈbɪl.ə.ti/,4,1682
administrative,administrativo,Administrative processing delayed visa,El procesamiento administrativo retrasó la visa,ADJ,B2,/ədˌmɪn.ɪˈstreɪ.tɪv/,5,3027
appellant,apelante,Appellant has 30 days to appeal,El apelante tiene 30 días para apelar,NOUN,C1,/əˈpel.ənt/,2,1362
affirmative asylum,asilo afirmativo,Affirmative asylum filed with USCIS,Asilo afirmativo presentado ante USCIS,NOUN,C2,/əˈfɜːr.mə.tɪv əˈsaɪ.ləm/,3,1127
application,solicitud,Visa application requires documents,La solicitud de visa requiere documentos,NOUN,B1,/ˌæp.lɪˈkeɪ.ʃən/,5,5000
admissible,admisible,Applicant is admissible to the US,El solicitante es admisible a EE.UU.,ADJ,C1,/ədˈmɪs.ə.bəl/,3,1991
attorney,abogado,Immigration attorney filed the petition,El abogado de inmigración presentó la petición,NOUN,B2,/əˈtɜː.ni/,2,4349
advance parole,permiso anticipado de viaje,Advance parole allows reentry,El permiso anticipado permite reingreso,NOUN,C1,/ədˈvɑːns pəˈroʊl/,4,1633
advance parole,permiso anticipado de viaje,Advance parole allows reentry,El permiso anticipado permite reingreso,NOUN,C1,/ədˈvɑːns pəˈroʊl/,2,1709
applicant,solicitante,The applicant must attend the interview,El solicitante debe asistir a la entrevista,NOUN,B2,/ˈæp.lɪ.kənt/,5,4567
asylum claim,solicitud de asilo,Asylum claim requires credible fear,La solicitud de asilo requiere temor creíble,NOUN,C1,/əˈsaɪ.ləm kleɪm/,2,2017
adjudication,adjudicación,Visa adjudication process is complex,El proceso de adjudicación de visa es complejo,NOUN,C2,/əˌdʒuː.dɪˈkeɪ.ʃən/,2,1736
administrative,administrativo,Administrative processing delayed visa,El procesamiento administrativo retrasó la visa,ADJ,B2,/ədˌmɪn.ɪˈstreɪ.tɪv/,4,2965
appellant,apelante,Appellant has 30 days to appeal,El apelante tiene 30 días para apelar,NOUN,C1,/əˈpel.ənt/,1,1315
alien,extranjero,The alien registration is mandatory,El registro de extranjeros es obligatorio,NOUN,C1,/ˈeɪ.li.ən/,3,3074
asylum claim,solicitud de asilo,Asylum claim requires credible fear,La solicitud de asilo requiere temor creíble,NOUN,C1,/əˈsaɪ.ləm kleɪm/,2,2120
asylum eligibility,elegibilidad de asilo,Asylum eligibility requires persecution fear,La elegibilidad de asilo requiere temor a persecución,NOUN,C1,/əˈsaɪ.ləm ɪˌli.dʒəˈbɪl.ə.ti/,5,1748
asylee,asilado,The asylee received work authorization,El asilado recibió autorización de trabajo,NOUN,C1,/əˈsaɪ.liː/,2,1899
appeal,apelación,The appeal was filed within 30 days,La apelación se presentó dentro de 30 días,NOUN,B2,/əˈpiːl/,6,3842
applicant,solicitante,The applicant must attend the interview,El solicitante debe asistir a la entrevista,NOUN,B2,/ˈæp.lɪ.kənt/,4,4600
asylum seeker,solicitante de asilo,Asylum seekers need legal help,Los solicitantes de asilo necesitan ayuda legal,NOUN,C1,/əˈsaɪ.ləm ˈsiː.kər/,5,2127
attorney,abogado,Immigration attorney filed the petition,El abogado de inmigración presentó la petición,NOUN,B2,/əˈtɜː.ni/,4,4304
alien,extranjero,The alien registration is mandatory,El registro de extranjeros es obligatorio,NOUN,C1,/ˈeɪ.li.ən/,3,2942
asylum withholding,retención de asilo,Asylum withholding deportation granted,Se concedió retención de deportación por asilo,NOUN,C2,/əˈsaɪ.ləm wɪðˈhəʊl.dɪŋ/,2,989
appellant,apelante,Appellant has 30 days to appeal,El apelante tiene 30 días para apelar,NOUN,C1,/əˈpel.ənt/,1,1377
asylum officer,oficial de asilo,Asylum officer conducted credible fear interview,El oficial de asilo realizó entrevista de temor creíble,NOUN,C1,/əˈsaɪ.ləm ˈɒf.ɪ.sər/,3,1618
admission record,registro de admisión,Check your admission record online,Verificar registro de admisión en línea,NOUN,B2,/ədˈmɪʃ.ən ˈrek.ɔːd/,3,2337
affidavit support,declaración de apoyo,Affidavit of support required for family,Se requiere declaración de apoyo para familia,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt əv səˈpɔːrt/,2,1298
affidavit,declaración jurada,Submit affidavit of support,Presentar declaración jurada de apoyo,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt/,2,1294
alien,extranjero,The alien registration is mandatory,El registro de extranjeros es obligatorio,NOUN,C1,/ˈeɪ.li.ən/,1,3087
applicant interview,entrevista del solicitante,Applicant interview scheduled for Monday,Entrevista del solicitante programada para lunes,NOUN,B2,/ˈæp.lɪ.kənt ˈɪn.tə.vjuː/,5,2897
asylum,asilo,The asylum application was approved,La solicitud de asilo fue aprobada,NOUN,C1,/əˈsaɪ.ləm/,3,2919
approval,aprobación,Work permit approval takes 90 days,La aprobación del permiso de trabajo toma 90 días,NOUN,B2,/əˈpruː.vəl/,3,2809
administrative review,revisión administrativa,Administrative review takes 6 months,La revisión administrativa toma 6 meses,NOUN,B2,/ədˌmɪn.ɪˈstreɪ.tɪv rɪˈvjuː/,2,2176
asylum withholding,retención de asilo,Asylum withholding deportation granted,Se concedió retención de deportación por asilo,NOUN,C2,/əˈsaɪ.ləm wɪðˈhəʊl.dɪŋ/,3,1080
affidavit,declaración jurada,Submit affidavit of support,Presentar declaración jurada de apoyo,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt/,2,1191
adjustment interview,entrevista de ajuste,Adjustment interview requires biometrics,La entrevista de ajuste requiere biométricos,NOUN,C1,/əˈdʒʌst.mənt ˈɪn.tə.vjuː/,4,2426
alien,extranjero,The alien registration is mandatory,El registro de extranjeros es obligatorio,NOUN,C1,/ˈeɪ.li.ən/,2,3040
administrative review,revisión administrativa,Administrative review takes 6 months,La revisión administrativa toma 6 meses,NOUN,B2,/ədˌmɪn.ɪˈstreɪ.tɪv rɪˈvjuː/,4,2190
attorney,abogado,Immigration attorney filed the petition,El abogado de inmigración presentó la petición,NOUN,B2,/əˈtɜː.ni/,2,4454
administrative,administrativo,Administrative processing delayed visa,El procesamiento administrativo retrasó la visa,ADJ,B2,/ədˌmɪn.ɪˈstreɪ.tɪv/,4,2961
asylum,asilo,The asylum application was approved,La solicitud de asilo fue aprobada,NOUN,C1,/əˈsaɪ.ləm/,4,3034
